genero,especie,numero,fechapol,fechamad,codigo,ubicacion,responsable,cantidad,disponible,archivo_origen
Dendrobium,rhodostictum,B-007681,21-sep-23,24-may-24,PIS3875,V-16 M-1C,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Dendrobium,rhodostictum,B-000197,17-sep-10,25-Aug-11,PIS3875,V-16 M-5A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrobium,rhodostictum,B-006235,10-Aug-21,15-feb-22,PIS3875,V-16 M-1C,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrobium,rhodostictum,B-000148,16-sep-10,29-jun-11,PIS3875,V-16 M-6D,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrobium,rhodostictum,B-007700,27-sep-23,18-jun-24,PIS3875,V-16 M-1C,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrobium,rhodostictum,B-000871,09-oct-12,30-may-13,PIS3875,V-16 M-5A,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,rhodostictum,B-008566,26-jul-24,20-mar-25,PIS3875,V-0,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Arpophyllum,giganteum,B-000688,01-oct-12,06-Dec-12,PIS3878,V-16 M-2E,CARLOS GUACHISACA,15,0,SIBBLING_STEFY.XLS
Arpophyllum,giganteum subsp. alpinum 'Mexico',B-001876,01-Jan-15,11-may-15,PIS3878,V-0,PORTILLA IVAN,1,0,SIBBLING_STEFY.XLS
Dendrobium,densiflorum var luteo alba 001548,B-001278,23-Dec-13,06-jun-14,PIS3885,V-5 M-4B,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,densiflorum var luteo alba 001548,B-000918,06-Dec-12,16-jul-13,PIS3885,V-5 M-4B,ANGEL GUACHISACA,4,0,SIBBLING_STEFY.XLS
Dendrobium,densiflorum var luteo alba 001548,B-001293,23-Dec-13,24-jun-14,PIS3885,V-102 P-C,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,glomeratum,B-001320,21-feb-14,15-jul-14,PIS3886,V-5 M-3B,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,delenatii,B-002423,09-jul-15,03-may-16,PIS3889,V-2 M-9A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,delenatii,B-003715,13-jun-17,16-mar-18,PIS3889,V-5 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,delenatii,B-003669,13-jun-17,27-feb-18,PIS3889,V-5 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,delenatii,B-006358,31-jul-21,24-may-22,PIS3889,V-5 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,delenatii,B-002935,01-jul-16,07-Apr-17,PIS3889,V-5 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,delenatii,B-008994,01-Aug-24,30-Apr-25,PIS3889,V-0,CARLOS GUACHISACA,2,2,SIBBLING_STEFY.XLS
Paphiopedilum,delenatii,B-006376,23-jul-21,21-jun-22,PIS3889,V-5 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,delenatii,B-003024,01-jul-16,05-may-17,PIS3889,V-5 M-4A,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Bulbophyllum,pardalotum,B-003384,08-Aug-17,24-oct-17,PIS3894,V-5 M-1A,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Bulbophyllum,pardalotum,B-001154,03-Jan-14,07-mar-14,PIS3894,V-5 M-1A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,concolor,B-006102,08-sep-20,03-Aug-21,PIS3897,V-5 M-3A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,concolor,B-006385,21-nov-21,01-jul-22,PIS3897,V-5 M-3A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,Golddollar,B-005202,30-mar-19,31-oct-19,PIH3906,V-0,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Paphiopedilum,Golddollar,B-004241,03-Apr-18,30-oct-18,PIH3906,V-5 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrobium,obtusum,B-005058,24-may-19,24-may-19,PIS3908,V-0,PORTILLA IVAN,1,0,SIBBLING_STEFY.XLS
Dendrobium,obtusum,B-001918,19-sep-14,26-may-15,PIS3908,V-5 M-4B,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrobium,obtusum (BLN x 'Popow'),B-008928,14-oct-24,14-oct-24,PIS3908,V-0,ALEX PORTILLA,1,0,SIBBLING_STEFY.XLS
Phragmipedium,lindleyanum,B-004070,19-may-18,11-sep-18,PIS3909,V-5 M-4B,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Jumellea,comorensis,B-003670,05-sep-17,27-feb-18,PIS3963,V-5 M-2A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Jumellea,comorensis,B-002401,21-Aug-15,22-Apr-16,PIS3963,V-5 M-3A,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Jumellea,comorensis,B-004033,05-sep-17,30-Aug-18,PIS3963,V-5 M-4C,PORTILLA IVAN,1,0,SIBBLING_STEFY.XLS
Chondrorhyncha,sp ec El Paraiso (Autopol),B-003437,06-mar-17,21-nov-17,PRS3970,V-0,GEOVANNY PEÑARANDA,2,0,SIBBLING_STEFY.XLS
Kefersteinia,sp 6949,B-000127,06-sep-10,13-Apr-11,PRS3973,V-16 M-4E,GERARDO GUACHISACA,1,0,SIBBLING_STEFY.XLS
Mormolyca,peruviana,B-001031,10-jun-13,14-nov-13,PIS3975,V-5 M-12A,PORTILLA IVAN,2,0,SIBBLING_STEFY.XLS
Cyrtochilum,halteratum,B-000154,06-sep-10,07-jul-11,PRS3997,V-18 M-1A,GUALAN SEBASTIAN,4,0,SIBBLING_STEFY.XLS
Cyrtochilum,halteratum,B-000930,21-sep-12,06-Aug-13,PRS3997,V-18 M-1B,JIMMY MORENO,1,0,SIBBLING_STEFY.XLS
Cyrtochilum,halteratum,B-000849,25-jun-12,23-may-13,PRS3997,V-18 M-1B,JIMMY MORENO,1,0,SIBBLING_STEFY.XLS
Dresslerella,hispida,B-003553,20-jun-17,19-Dec-17,PRS3998,V-16 M-3E,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Pleurothallis,cardiochila,B-003138,11-Apr-17,11-jul-17,PRS3999,V-25 M-7A,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Masdevallia,spathulifolia,B-000750,01-feb-12,19-mar-13,PRS4008,V-25 M-6B,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Masdevallia,spathulifolia,B-000934,08-Apr-13,12-Aug-13,PRS4008,V-25 M-6B,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Pleurothallis,lanceana,B-008045,14-may-24,14-may-24,PRS4022,V-0,HENRY LOZANO,1,0,SIBBLING_STEFY.XLS
Pleurothallis,lanceana,B-000254,28-Apr-11,18-oct-11,PRS4022,V-9 M-3A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Pleurothallis,lanceana,B-008266,03-Aug-24,03-Aug-24,PRS4022,V-102 P-C,CARLOS GUACHISACA,4,0,SIBBLING_STEFY.XLS
Pleurothallis,lanceana,B-008257,19-jul-24,19-jul-24,PRS4022,V-0,CARLOS GUACHISACA,6,0,SIBBLING_STEFY.XLS
Pleurothallis,lanceana,B-008294,10-Aug-24,10-Aug-24,PRS4022,V-102 P-C,CARLOS GUZMÀN,2,0,SIBBLING_STEFY.XLS
Masdevallia,acaroi,B-000055,06-may-10,28-oct-10,PRS4061,V-15 M-1C,GUACHISACA ROSA,1,0,SIBBLING_STEFY.XLS
Masdevallia,acaroi,B-002077,12-may-15,02-oct-15,PRS4061,V-16 M-4A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Porroglossum,porphyreum 001004,B-000680,20-jul-12,26-nov-12,PRS4078,V-15 M-3C,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Porroglossum,porphyreum,B-001644,03-oct-14,30-Dec-14,PRS4078,V-16 M-2B,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Porroglossum,porphyreum,B-000068,23-nov-10,03-feb-11,PRS4078,V-15 M-1B,GERARDO GUACHISACA,1,0,SIBBLING_STEFY.XLS
Zootrophion,alvaroi,B-000914,21-Dec-12,15-jul-13,PRS4079,V-5 M-11A,BASTIDAS REINALDO,9,0,SIBBLING_STEFY.XLS
Zootrophion,alvaroi spont (brown x yellow),B-002208,09-feb-15,09-feb-15,PRS4079,V-0,,1,0,SIBBLING_STEFY.XLS
Zootrophion,alvaroi,B-001614,23-may-14,12-Dec-14,PRS4079,V-5 M-1B,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrobium,thyrsiflorum 001869,B-000854,16-nov-12,27-may-13,PIS4097,V-16 M-2E,CARLOS GUACHISACA,6,0,SIBBLING_STEFY.XLS
Dendrobium,thyrsiflorum,B-006887,02-oct-22,18-Apr-23,PIS4097,V-5 M-4B,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,thyrsiflorum,B-001143,15-Aug-13,25-Jan-14,PIS4097,V-5 M-4B,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Dendrobium,fytchianum,B-001409,23-Apr-14,30-Aug-14,PIS4098,V-4 M-5B,MEDINA HUGO,2,0,SIBBLING_STEFY.XLS
Dendrobium,fytchianum,B-001676,10-oct-14,15-Jan-15,PIS4098,V-4 M-5B,MEDINA HUGO,2,0,SIBBLING_STEFY.XLS
Dendrobium,crispum,B-000703,18-sep-12,08-Jan-13,PIS4100,V-4 M-5A,MEDINA HUGO,2,0,SIBBLING_STEFY.XLS
Catasetum,sp Bolivia,B-006595,09-feb-22,09-feb-22,PRS4102,V-0,NELSON ANDRADE,1,0,SIBBLING_STEFY.XLS
Catasetum,sp Patricia Pilar,B-004016,23-Jan-18,27-Aug-18,PRS4102,V-0,MEDINA HUGO,2,0,SIBBLING_STEFY.XLS
Catasetum,sp Salvador (Autopoli),B-004901,10-may-19,10-may-19,PRS4102,V-0,JORGE CASTILLO,1,0,SIBBLING_STEFY.XLS
Catasetum,sp Panama,B-006685,05-Dec-22,05-Dec-22,PRS4102,V-0,PORTILLA IVAN,1,0,SIBBLING_STEFY.XLS
Phragmipedium,Grouville,B-005260,03-jul-19,02-Dec-19,PIH4131,V-2 P-A,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Phragmipedium,Grouville,B-006137,14-may-21,28-sep-21,PIH4131,V-2 M-14A,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Phragmipedium,Grouville,B-006141,14-may-21,04-oct-21,PIH4131,V-0,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
