F.SIEMBRA;CODIGO;ESPECIE;CLIMA;UBICACI;RESPONSABLE;S.VANA;S.STOCK;C.SOLIC;DISPONE;F.GERMI;E.CAPSU
26/9/2012;PRS5242-001    ;Acianthera sonderiana ´Gigi`;Warm ;P-          ;                    ;  ;1;600;0;-;Cerrada   
20/7/2016;PRS4990-008    ;Acianthera sp Guatemala;Cool ;P-101 N-B   ;MANUEL RUIZ         ;  ;0;500;0;23/8/2016;Abierta   
12/5/2015;PRS4990-002    ;Acianthera sp 'Pescado';Cool ;P-118 N-A   ;MANUEL RUIZ         ;  ;0;500;0;10/7/2015;Cerrada   
9/7/2014;PRS3775-001    ;Acianthera strupifolia;Intermedio ;P-116 N-B   ;PAOLA MEDINA        ;  ;0;      ;0;-;Cerrada   
15/7/2014;PRS3775-001    ;Acianthera strupifolia;Intermedio ;P-116 N-B   ;ANTONIO TENELANDA   ;  ;0;      ;0;-;Abierta   
24/7/2014;PRS3775        ;Acianthera strupifolia;Intermedio ;P-          ;                    ;  ;1;1200;0;-;Cerrada   
24/7/2014;PRS3775        ;Acianthera strupifolia;Intermedio ;P-          ;                    ;  ;1;1200;0;-;Cerrada   
29/8/2014;PRS3775        ;Acianthera strupifolia;Intermedio ;P-116 N-A   ;MANUEL RUIZ         ;  ;0;1200;0;-;Abierta   
11/8/2014;PRS3775        ;Acianthera strupifolia;Intermedio ;P-116 N-B   ;ANTONIO TENELANDA   ;  ;0;1200;0;12/8/2014;Abierta   
17/11/2011;PIS0001        ;Acineta antioquiae;Intermedio ;P-101 N-F   ;ANTONIO TENELANDA   ;SI;1;600;0;-;Cerrada   
9/11/2012;PIS0001        ;Acineta antioquiae;Intermedio ;P-101 N-F   ;ANTONIO TENELANDA   ;  ;1;600;0;-;Cerrada   
27/11/2012;PIS0001        ;Acineta antioquiae;Intermedio ;P-          ;                    ;SI;0;600;0;-;Cerrada   
5/1/2012;PRS5301-001    ;Acineta barkeri;Intermedio ;P-101 N-A   ;GENOVEVA VILLA      ;  ;1;      ;0;-;Abierta   
14/5/2014;PRS5301-001    ;Acineta barkeri;Intermedio ;P-101       ;                    ;  ;0;      ;0;-;Abierta   
14/5/2014;PRS5301-001    ;Acineta barkeri;Intermedio ;P-101       ;                    ;  ;0;      ;0;-;Abierta   
10/9/2018;PRH13193       ;Acineta beyrodtiana x Stanhopea platyceras;IW;P-102 N-F   ;MANUEL RUIZ         ;  ;0;800;0;-;Cerrada   
20/4/2010;PIS2315        ;Acineta chrysantha;Intermedio ;P-102 N-E   ;EDISON LOJANO       ;  ;0;      ;0;-;          
19/12/2011;PIS2315        ;Acineta chrysantha;Intermedio ;P-101 N-F   ;ANTONIO TENELANDA   ;  ;1;      ;0;-;Cerrada   
1/12/2011;PIS3301        ;Acineta densa;Intermedio ;P-109 N-D   ;GENOVEVA VILLA      ;  ;1;      ;0;-;Cerrada   
22/11/2011;PIS0003        ;Acineta erythroxantha;Intermedio ;P-102 N-C   ;ANTONIO TENELANDA   ;  ;1;      ;0;-;Cerrada   
10/12/2012;PIS0003        ;Acineta erythroxantha;Intermedio ;P-109 N-D   ;ANTONIO TENELANDA   ;  ;1;      ;0;-;Abierta   
15/5/2010;PIS0002        ;Acineta hrubyana;Intermedio ;P-100       ;                    ;  ;0;800;0;-;Cerrada   
20/12/2012;PIS0002        ;Acineta hrubyana;Intermedio ;P-102 N-B   ;ANTONIO TENELANDA   ;  ;1;800;0;-;Abierta   
13/1/2015;PIS0002        ;Acineta hrubyana;Intermedio ;P-102 N-B   ;MANUEL RUIZ         ;  ;1;800;0;-;Cerrada   
3/10/2020;PIS0002        ;Acineta hrubyana;Intermedio ;P-102 N-E   ;MANUEL RUIZ         ;  ;1;800;0;-;Abierta   
17/10/2012;PIS0004        ;Acineta moorei..;Intermedio ;P-101 N-B   ;ANTONIO TENELANDA   ;  ;0;      ;0;-;Cerrada   
10/12/2012;PRS4986        ;Acineta sella-turcica;Intermedio ;P-109 N-D   ;ANTONIO TENELANDA   ;  ;1;      ;0;-;Abierta   
10/2/2015;PRS4701        ;Acineta sp;Cool ;P-101 N-E   ;MANUEL RUIZ         ;  ;1;500;0;10/4/2015;Abierta   
25/2/2015;PRS4056        ;Acineta sp 14 b;Intermedio ;P-          ;                    ;SI;0;      ;0;-;Semiabiert
8/12/2022;PRS14977       ;Acineta sulcata;Intermedio ;P-102 N-E   ;MANUEL RUIZ         ;  ;1;400;0;-;Abierta   
26/12/2012;PRS0005        ;Acineta superba;Intermedio ;P-101 N-D   ;ANTONIO TENELANDA   ;  ;0;      ;0;-;Cerrada   
5/3/2013;PRS0005        ;Acineta superba;Intermedio ;P-          ;                    ;  ;1;      ;0;-;Cerrada   
10/3/2010;PRS0005-002    ;Acineta superba roja;Intermedio ;P-102 N-D   ;EDISON LOJANO       ;  ;0;      ;0;-;          
6/8/2017;PIS12545-001   ;Acostaea sp 'Colombia';Intermedio ;P-          ;                    ;  ;0;500;0;-;Abierta   
20/1/2018;PIS12545-002   ;Acostaea sp Red x Bicolor L;Intermedio ;P-          ;                    ;  ;0;500;0;-;Abierta   
14/1/2025;PIS12545-004   ;Acostaea sp Red x Red L;Intermedio ;P-          ;                    ;  ;0;1200;0;-;Abierta   
24/12/2022;PIS12545-003   ;Acostaea sp Wiel Red x Red L;Intermedio ;P-          ;                    ;  ;0;1500;0;-;Abierta   
14/4/2023;PIS12545-003   ;Acostaea sp Wiel Red x Red L;Intermedio ;P-          ;                    ;  ;0;1500;0;-;Abierta   
24/8/2012;PRS0011-003    ;Acronia adeleae;IC;P-101       ;                    ;  ;0;      ;0;-;Cerrada   
4/8/2011;PRS4762        ;Acronia pyelophera;IC;P-102 N-E   ;GENOVEVA VILLA      ;  ;1;600;0;-;Abierta   
8/9/2020;PRH14044       ;Ada Leopardo x Oncidium pastasae;Cool ;P-          ;                    ;  ;1;900;0;-;Abierta   
21/8/2019;PRH14044       ;Ada Leopardo x Oncidium pastasae;Cool ;P-102 N-E   ;MANUEL RUIZ         ;  ;1;900;0;6/9/2019;Abierta   
25/9/2020;PRH14818       ;Adaglossum Gualaceo h00506 x Oncidum Cholita Cuencana;Cool ;P-102 N-E   ;MANUEL RUIZ         ;  ;0;1200;0;-;Abierta   
4/10/2016;PRH11694       ;Adaglossum Summit X Wilsonara Hilda Plumtree Purple Wings Bm /13 Woc;Intermedio ;P-101 N-C   ;MANUEL RUIZ         ;  ;0;800;0;-;Cerrada   
17/5/2023;PRE16357       ;Adelonema wallisii;Intermedio ;P-          ;                    ;  ;0;800;0;-;Abierta   
14/11/2018;PRE2002-002    ;Aechmea drakeana 1 (Autopoli);IW;P-105 N-F   ;MANUEL RUIZ         ;  ;0;800;0;-;Abierta   
19/11/2019;PRE9546-001    ;Aechmea hoppii (Autopoli);Warm ;P-102 N-D   ;MANUEL RUIZ         ;  ;0;800;0;-;Cerrada   
22/3/2012;PRS4887        ;Aerangis citrata;Warm ;P-101 N-A   ;ANGEL GUACHISACA    ;  ;0;1000;0;-;Cerrada   
5/1/2016;PRS4887        ;Aerangis citrata;Warm ;P-          ;                    ;SI;0;1000;0;-;Abierta   
12/12/2016;PRS4887        ;Aerangis citrata;Warm ;P-131 N-C   ;MANUEL RUIZ         ;  ;0;1000;0;-;Cerrada   
17/12/2014;PRS4887-001    ;Aerangis citrata L;Warm ;P-102 N-B   ;                    ;  ;0;1000;0;-;Abierta   
14/4/2023;PRS4887-001    ;Aerangis citrata L;Warm ;P-          ;                    ;  ;0;1000;0;-;Abierta   
14/1/2025;PIH19495-001   ;Aerangis citrata x Aergs. rhodosticta L;IW;P-          ;                    ;  ;0;1200;0;-;Abierta   
31/8/2011;PIS4364        ;Aerangis ellisii;Warm ;P-102 N-E   ;GENOVEVA VILLA      ;  ;1;300;0;-;Abierta   
31/3/2015;PIS4364        ;Aerangis ellisii;Warm ;P-101 N-E   ;MANUEL RUIZ         ;  ;0;300;0;24/4/2015;Abierta   
29/9/2017;PIS4364        ;Aerangis ellisii;Warm ;P-131 N-B   ;MANUEL RUIZ         ;  ;0;300;0;20/10/2017;Abierta   
14/9/2012;PIS4364-001    ;Aerangis ellisii 002886;Warm ;P-101 N-C   ;ANTONIO TENELANDA   ;  ;1;      ;0;-;Abierta   
8/10/2015;PIS4273        ;Aerangis fastuosa;Intermedio ;P-101 N-A   ;PAOLA MEDINA        ;  ;0;2000;0;-;Abierta   
23/3/2016;PIS4273-003    ;Aerangis fastuosa;Intermedio ;P-          ;                    ;  ;0;      ;0;-;Abierta   
18/2/2015;PIS4273        ;Aerangis fastuosa;Intermedio ;P-101 N-B   ;MANUEL RUIZ         ;  ;0;2000;0;16/3/2015;Abierta   
25/8/2018;PIS4273-004    ;Aerangis fastuosa L;Intermedio ;P-          ;                    ;  ;0;900;0;-;Abierta   
19/9/2021;PIS4273-004    ;Aerangis fastuosa L;Intermedio ;P-          ;                    ;  ;0;900;0;-;Abierta   
8/12/2015;PIH11321       ;Aerangis Fihavanana;IW;P-101 N-A   ;EDISON LOJANO       ;  ;0;900;0;-;Abierta   
20/1/2018;PIS12876-001   ;Aerangis hyaloides L;Warm ;P-          ;                    ;  ;0;1500;0;-;Abierta   
24/10/2017;PIS9910        ;Aerangis kotschyana;Warm ;P-131 N-B   ;MANUEL RUIZ         ;  ;0;1500;0;-;Cerrada   
28/10/2016;PIS9910        ;Aerangis kotschyana;Warm ;P-131 N-C   ;MANUEL RUIZ         ;  ;0;1500;0;23/12/2016;Cerrada   
8/11/2017;PIS9910        ;Aerangis kotschyana;Warm ;P-102 N-C   ;MANUEL RUIZ         ;  ;0;1500;0;22/12/2017;Cerrada   
20/9/2013;PRS5243-002    ;Aerangis luteoalba;Warm ;P-102 N-E   ;PAOLA MEDINA        ;  ;0;      ;0;-;Cerrada   
6/9/2013;PRS5243-001    ;Aerangis luteoalba var rhodosticta;Warm ;P-101 N-C   ;PAOLA MEDINA        ;  ;1;4000;0;-;Cerrada   
17/9/2018;PRS5243-001    ;Aerangis luteoalba var rhodosticta;Warm ;P-          ;                    ;  ;1;4000;0;-;Abierta   
16/10/2018;PRS5243-001    ;Aerangis luteoalba var rhodosticta;Warm ;P-          ;                    ;  ;1;4000;0;-;Abierta   
1/5/2019;PRS5243-001    ;Aerangis luteoalba var rhodosticta;Warm ;P-131 N-B   ;MANUEL RUIZ         ;  ;0;4000;0;-;Abierta   
21/8/2024;PRS5243-001    ;Aerangis luteoalba var rhodosticta;Warm ;P-131 N-B   ;MANUEL RUIZ         ;  ;0;4000;0;-;Abierta   
27/9/2016;PRS5243-001    ;Aerangis luteoalba var rhodosticta;Warm ;P-101 N-D   ;MANUEL RUIZ         ;  ;0;4000;0;11/11/2016;Cerrada   
24/5/2017;PRS5243-001    ;Aerangis luteoalba var rhodosticta;Warm ;P-131 N-B   ;MANUEL RUIZ         ;  ;0;4000;0;18/8/2017;Cerrada   
5/10/2018;PRS5243-001    ;Aerangis luteoalba var rhodosticta;Warm ;P-131 N-C   ;MANUEL RUIZ         ;  ;0;4000;0;9/11/2018;Cerrada   
31/8/2018;PRS5243-001    ;Aerangis luteoalba var rhodosticta;Warm ;P-131 N-C   ;MANUEL RUIZ         ;  ;0;4000;0;23/11/2018;Cerrada   
5/10/2018;PRS5243-001    ;Aerangis luteoalba var rhodosticta;Warm ;P-131 N-C   ;MANUEL RUIZ         ;  ;0;4000;0;23/11/2018;Cerrada   
17/8/2019;PRS5243-004    ;Aerangis luteoalba var rhodosticta (Autopoli);Warm ;P-102 N-D   ;MANUEL RUIZ         ;  ;0;500;0;5/10/2019;Cerrada   
29/3/2017;PIS4404        ;Aerangis modesta;Warm ;P-131 N-C   ;MANUEL RUIZ         ;  ;0;1800;0;8/9/2017;Cerrada   
21/9/2012;PRS4894        ;Aerangis mooreana;Warm ;P-102 N-E   ;ANTONIO TENELANDA   ;  ;0;      ;0;-;Abierta   
11/8/2009;PIS6889        ;Aerangis mystacidii;Warm ;P-109 N-D   ;EDISON LOJANO       ;  ;0;      ;0;-;          
19/9/2021;PRS15820-001   ;Aerangis pallidiflora 'Uchucay';Intermedio ;P-          ;                    ;  ;0;900;0;-;Abierta   
14/12/2022;PRS15820-001   ;Aerangis pallidiflora 'Uchucay';Intermedio ;P-          ;                    ;  ;0;900;0;-;Abierta   
24/12/2022;PRS15820-001   ;Aerangis pallidiflora 'Uchucay';Intermedio ;P-          ;                    ;  ;0;900;0;-;Abierta   
14/4/2023;PRS15820-001   ;Aerangis pallidiflora 'Uchucay';Intermedio ;P-          ;                    ;  ;0;900;0;-;Abierta   
14/4/2023;PRS15820-001   ;Aerangis pallidiflora 'Uchucay';Intermedio ;P-          ;                    ;  ;0;900;0;-;Abierta   
14/1/2025;PRS15820-001   ;Aerangis pallidiflora 'Uchucay';Intermedio ;P-          ;                    ;  ;0;900;0;-;Abierta   
20/11/2018;PIH13608       ;Aerangis pumilio Madagascar x Aerangis Junginger;Intermedio ;P-          ;                    ;  ;0;1000;0;-;Abierta   
24/12/2022;PIH13608-001   ;Aerangis pumilio Madagascar x Aerangis Junginger L;Intermedio ;P-          ;                    ;  ;0;1000;0;-;Abierta   
14/4/2023;PIH13608-001   ;Aerangis pumilio Madagascar x Aerangis Junginger L;Intermedio ;P-          ;                    ;  ;0;1000;0;-;Abierta   
21/4/2015;PIS10581-002   ;Aerangis punctata;Warm ;P-104 N-D   ;MANUEL RUIZ         ;  ;0;      ;0;-;Abierta   
26/12/2014;PIS10581-001   ;Aerangis punctata;Warm ;P-103 N-A   ;                    ;  ;0;      ;0;-;Abierta   
14/1/2025;PRS15821-002   ;Aerangis seegeri ('Gilles' x 'Mada');Intermedio ;P-          ;                    ;  ;0;900;0;-;Abierta   
14/1/2025;PRS15821-003   ;Aerangis seegeri ('Mada' x 'Gilles');Intermedio ;P-          ;                    ;  ;0;900;0;-;Abierta   
19/9/2021;PRS15821-001   ;Aerangis seegeri L;Intermedio ;P-          ;                    ;  ;0;900;0;-;Abierta   
29/8/2014;PIS10402       ;Aerangis stylosa;IW;P-101 N-E   ;ANTONIO TENELANDA   ;  ;0;      ;0;24/10/2014;Abierta   
